Date,Close
02 11 2022,728.5841675
03 11 2022,725.3844604
04 11 2022,720.3803101
07 11 2022,725.9859009
09 11 2022,725.7693481
10 11 2022,733.6605225
11 11 2022,775.2334595
14 11 2022,777.1099243
15 11 2022,779.0106201
16 11 2022,785.6987915
17 11 2022,778.6016235
18 11 2022,776.5566406
21 11 2022,768.5933228
22 11 2022,767.4625854
23 11 2022,769.4593506
24 11 2022,781.9697876
25 11 2022,778.3610229
28 11 2022,769.9887085
29 11 2022,768.8338623
30 11 2022,773.9342651
01 12 2022,779.2512207
02 12 2022,773.284729
05 12 2022,776.0995483
06 12 2022,775.2334595
07 12 2022,774.8965454
08 12 2022,779.2512207
09 12 2022,784.8087158
12 12 2022,790.9194946
13 12 2022,793.1088867
14 12 2022,799.821106
15 12 2022,785.1696167
16 12 2022,788.9466553
19 12 2022,791.4006958
20 12 2022,785.9393921
21 12 2022,778.3369141
22 12 2022,775.6665649
23 12 2022,768.7376709
26 12 2022,784.0387573
27 12 2022,784.8327637
28 12 2022,784.2071533
29 12 2022,789.7406006
30 12 2022,783.413269
02 01 2023,783.6779175
03 01 2023,788.8023071
04 01 2023,774.7041626
05 01 2023,769.723999
06 01 2023,767.1738892
09 01 2023,768.6654663
10 01 2023,754.6153564
11 01 2023,765.4897461
12 01 2023,769.5797119
13 01 2023,770.1812134
16 01 2023,762.7952881
17 01 2023,774.1508179
18 01 2023,787.81604
19 01 2023,791.0878906
20 01 2023,799.1955566
23 01 2023,805.0418091
24 01 2023,815.8198853
25 01 2023,793.2772217
27 01 2023,777.4708862
30 01 2023,776.677002
31 01 2023,771.5524902
01 02 2023,783.1245728
02 02 2023,771.4802856
03 02 2023,798.1610718
06 02 2023,794.7688599
07 02 2023,795.9476929
08 02 2023,795.8514404
09 02 2023,794.1914673
10 02 2023,797.3431396
13 02 2023,797.944519
14 02 2023,805.3304443
15 02 2023,803.694519
16 02 2023,800.7834473
17 02 2023,796.765686
20 02 2023,789.2834473
21 02 2023,792.2426758
22 02 2023,776.7009277
23 02 2023,771.4321899
24 02 2023,764.5515137
27 02 2023,766.4520874
28 02 2023,769.6758423
01 03 2023,768.9301147
02 03 2023,762.3861694
03 03 2023,777.5189819
06 03 2023,783.0043335
08 03 2023,784.5681152
09 03 2023,784.6402588
10 03 2023,764.4071655
13 03 2023,754.7356567
14 03 2023,752.7147827
15 03 2023,741.9126587
16 03 2023,746.7243042
17 03 2023,756.7084961
20 03 2023,751.4637451
21 03 2023,759.9804077
22 03 2023,758.2241821
23 03 2023,752.1373901
24 03 2023,750.9344482
27 03 2023,754.2063599
28 03 2023,760.3412476
29 03 2023,763.99823
31 03 2023,774.463562
03 04 2023,774.9447021
05 04 2023,795.7311401
06 04 2023,801.7938843
10 04 2023,797.9926147
11 04 2023,800.326355
12 04 2023,810.7196045
13 04 2023,814.352356
17 04 2023,801.9382935
18 04 2023,798.5460205
19 04 2023,801.4810791
20 04 2023,804.4643555
21 04 2023,805.7634888
24 04 2023,812.2833862
25 04 2023,800.7352905
26 04 2023,804.4162598
27 04 2023,808.8430176
28 04 2023,812.0186768
02 05 2023,811.8502808
03 05 2023,814.6891479
04 05 2023,831.3616943
05 05 2023,782.2103882
08 05 2023,791.2563477
09 05 2023,791.2803345
10 05 2023,794.9371948
11 05 2023,795.4664917
12 05 2023,802.4916382
15 05 2023,806.3409424
16 05 2023,801.7174683
17 05 2023,797.4102173
18 05 2023,800.5980225
19 05 2023,801.5227661
22 05 2023,798.6755981
23 05 2023,796.8018188
